Course Name,Difficulty Level,Course URL
Write A Feature Length Screenplay For Film Or Television,Beginner,https://www.coursera.org/learn/write-a-feature-length-screenplay-for-film-or-television
Business Strategy: Business Model Canvas Analysis with Miro,Beginner,https://www.coursera.org/learn/canvas-analysis-miro
Silicon Thin Film Solar Cells,Advanced,https://www.coursera.org/learn/silicon-thin-film-solar-cells
Finance for Managers,Intermediate,https://www.coursera.org/learn/operational-finance
Retrieve Data using Single-Table SQL Queries,Beginner,https://www.coursera.org/learn/single-table-sql-queries
Building Test Automation Framework using Selenium and TestNG,Beginner,https://www.coursera.org/learn/building-test-automation-framework-using-selenium-and-testng
Doing Business in China Capstone,Advanced,https://www.coursera.org/learn/doing-business-in-china-capstone
"Programming Languages, Part A",Intermediate,https://www.coursera.org/learn/programming-languages
The Roles and Responsibilities of Nonprofit Boards of Directors within the Governance Process,Intermediate,https://www.coursera.org/learn/nonprofit-gov-2
Business Russian Communication. Part 3,Intermediate,https://www.coursera.org/learn/business-russian-communication-3
Agile Projects:  Developing Tasks with Taiga,Beginner,https://www.coursera.org/learn/developing-agile-tasks-taiga
Esports Management Capstone Project,Beginner,https://www.coursera.org/learn/esports-management-capstone-project
Hacking and Patching,Advanced,https://www.coursera.org/learn/hacking-patching
Business Statistics and Analysis Capstone,Beginner,https://www.coursera.org/learn/business-statistics-analysis-capstone
Grab Data Fast with Vertical and Horizontal LOOKUP,Beginner,https://www.coursera.org/learn/grab-data-fast-with-vertical-and-horizontal-lookup-in-google-sheets
Global Health: An Interdisciplinary Overview,Beginner,https://www.coursera.org/learn/global-health-overview
Python Programming Essentials,Beginner,https://www.coursera.org/learn/python-programming
Creating Dashboards and Storytelling with Tableau,Advanced,https://www.coursera.org/learn/dataviz-dashboards
Parallel programming,Beginner,https://www.coursera.org/learn/parprog1
Recommendation Systems with TensorFlow on GCP,Advanced,https://www.coursera.org/learn/recommendation-models-gcp
The Changing Arctic,Not Calibrated,https://www.coursera.org/learn/changing-arctic
COVID-19 - A clinical update,Beginner,https://www.coursera.org/learn/covid19clinicalupdate
How to Create Text Effects in GIMP,Beginner,https://www.coursera.org/learn/how-to-create-text-effects-in-gimp
Preparing for the Google Cloud Professional Data Engineer Exam,Beginner,https://www.coursera.org/learn/preparing-cloud-professional-data-engineer-exam
Multiple Regression Analysis in Public Health,Intermediate,https://www.coursera.org/learn/multiple-regression-analysis-public-health
General Pathophysiology,Intermediate,https://www.coursera.org/learn/pathophysiology
Population Health: Alternative Payment Models,Advanced,https://www.coursera.org/learn/alternative-payment-models
AWS Elastic Beanstalk: Build & Deploy a Node.js RESTful API,Advanced,https://www.coursera.org/learn/nodejs-api-aws-elastic-beanstalk
"Philosophy, Science and Religion: Philosophy and Religion",Intermediate,https://www.coursera.org/learn/philosophy-science-religion-2
Poverty & Population: How Demographics Shape Policy,Advanced,https://www.coursera.org/learn/poverty-population-demographics-policy
Electrodynamics: Analysis of Electric Fields,Intermediate,https://www.coursera.org/learn/electrodynamics-analysis-of-electric-fields
The Music of American English Pronunciation,Beginner,https://www.coursera.org/learn/american-english-pronunciation-music
Fundamentals of Management,Beginner,https://www.coursera.org/learn/fundamentals-of-management
Advanced Speaking and Listening Project,Advanced,https://www.coursera.org/learn/speaking-listening-capstone
Hybrid Cloud Service Mesh with Anthos,Beginner,https://www.coursera.org/learn/hybrid-cloud-service-mesh-anthos
Dealing With Missing Data,Advanced,https://www.coursera.org/learn/missing-data
COBOL Programming with VSCode,Beginner,https://www.coursera.org/learn/cobol-programming-vscode
Cryptography and Hashing Overview,Intermediate,https://www.coursera.org/learn/crypto-hashing
Postman - Intro to APIs (without coding),Beginner,https://www.coursera.org/learn/laura-gemmell-intro-postman-apis
Protecting Business Innovations via Patent,Beginner,https://www.coursera.org/learn/protect-business-innovations-patent
"Real-time OCR and Text Detection with Tensorflow, OpenCV and Tesseract",Beginner,https://www.coursera.org/learn/ocr-text-detection-tensorflow-opencv-tesseract
Global Strategy I: How The Global Economy Works,Advanced,https://www.coursera.org/learn/global-strategy
Disability Inclusion in Education: Building Systems of Support,Intermediate,https://www.coursera.org/learn/disability-inclusion-education
Introduction to Cybersecurity Tools & Cyber Attacks,Beginner,https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks
Introduction to Cybersecurity Tools & Cyber Attacks,Beginner,https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks
"Fundamentals of Funding, with Goldman Sachs 10,000 Women",Beginner,https://www.coursera.org/learn/10k-women-9
Foundations of Objective-C App Development,Beginner,https://www.coursera.org/learn/objective-c
Programming Mobile Applications for Android Handheld Systems: Part 2,Advanced,https://www.coursera.org/learn/android-programming-2
Analyzing Market Attractiveness Using Creately,Beginner,https://www.coursera.org/learn/analyzing-market-attractiveness-creately
Personal Leadership Development Planning and Leading High Performing Teams,Advanced,https://www.coursera.org/learn/leadership-development-planning
Integrating Scripts for Scene Interactions,Advanced,https://www.coursera.org/learn/integrating-scripts-for-scene-interactions
Voices of Social Change,Beginner,https://www.coursera.org/learn/voicesofsocialchange
"Managing Asthma, Allergies, Diabetes, and Seizures in School",Beginner,https://www.coursera.org/learn/managing-asthma-allergies-diabetes-and-seizures-in-school
Global Challenges in Business Capstone,Advanced,https://www.coursera.org/learn/global-challenges-business-capstone
Severe to Profound Intellectual Disability: Circles of Care and Education,Intermediate,https://www.coursera.org/learn/intellectual-disability-care-education
Teaching Children with Visual Impairment: Creating Empowering Classrooms,Beginner,https://www.coursera.org/learn/teach-children-with-visual-impairment
Intercultural Communication and Conflict Resolution,Advanced,https://www.coursera.org/learn/intercultural-communication
