course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,Clean_title
28295,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,https://www.udemy.com/build-beautiful-html5-website/,True,75,43285,525,24,All Levels,4 hours,2013-01-03T00:55:31Z,Web Development,Learn Web Designing  HTML5CSS3 Essentials 4Hours
19603,Learning Dynamic Website Design - PHP MySQL and JavaScript,https://www.udemy.com/learning-dynamic-website-design/,True,50,47886,285,125,All Levels,12.5 hours,2012-06-18T16:52:34Z,Web Development,Learning Dynamic Website Design  PHP MySQL JavaScript
889438,ChatBots: Messenger ChatBot with API.AI and Node.JS,https://www.udemy.com/chatbots/,True,50,2577,529,64,All Levels,4.5 hours,2016-06-30T16:57:08Z,Web Development,ChatBots Messenger ChatBot APIAI NodeJS
197836,Projects in HTML5,https://www.udemy.com/projects-in-html5/,True,60,8777,206,75,Intermediate Level,15.5 hours,2014-06-17T05:43:50Z,Web Development,Projects HTML5
505208,Programming Foundations: HTML5 + CSS3 for Entrepreneurs 2015,https://www.udemy.com/html-css-more/,True,20,23764,490,58,Beginner Level,5.5 hours,2015-10-17T04:52:25Z,Web Development,Programming Foundations HTML5  CSS3 Entrepreneurs 2015
1086834,How To Make A Wordpress Website 2017 | Divi Theme Tutorial,https://www.udemy.com/how-to-make-a-wordpress-website-2017-divi-theme-tutorial/,True,40,3541,202,37,Beginner Level,4 hours,2017-01-26T22:15:02Z,Web Development,Wordpress Website 2017  Divi Theme Tutorial
1094964,Build Your Own Backend REST API using Django REST Framework,https://www.udemy.com/django-python/,True,50,2669,112,72,Intermediate Level,5.5 hours,2017-04-27T19:21:11Z,Web Development,Build Backend REST API Django REST Framework
965870,Angular and Firebase - Build a Web App with Typescript,https://www.udemy.com/angular-firebase-application/,True,150,1966,359,65,All Levels,5 hours,2016-09-27T21:46:03Z,Web Development,Angular Firebase  Build Web App Typescript
965528,Web Development Masterclass - Complete Certificate Course,https://www.udemy.com/web-development-masterclass-complete-certificate-course/,True,200,4090,178,348,All Levels,19.5 hours,2016-10-12T03:14:13Z,Web Development,Web Development Masterclass  Complete Certificate Course
1078208,Spring Boot Tutorial For Beginners,https://www.udemy.com/spring-boot-tutorial-for-beginners/,True,40,2578,210,39,Beginner Level,5.5 hours,2017-01-23T15:13:53Z,Web Development,Spring Boot Tutorial Beginners
642410,The Complete Bootstrap Masterclass Course - Build 4 Projects,https://www.udemy.com/bootstrapcourse/,True,195,24978,540,67,All Levels,7 hours,2015-10-27T20:27:11Z,Web Development,Complete Bootstrap Masterclass Course  Build 4 Projects
785388,Scaling Docker on AWS,https://www.udemy.com/scaling-docker-on-aws/,True,25,3133,351,63,All Levels,6 hours,2016-03-28T17:51:04Z,Web Development,Scaling Docker AWS
1146014,Learn JavaScript for beginners,https://www.udemy.com/learn-javascript-course/,True,200,15276,167,19,Beginner Level,1.5 hours,2017-03-16T20:57:12Z,Web Development,Learn JavaScript beginners
8325,HTML Tutorial: HTML & CSS for Beginners,https://www.udemy.com/learn-html5/,True,20,12458,253,82,All Levels,4 hours,2011-09-09T15:28:59Z,Web Development,HTML Tutorial HTML  CSS Beginners
987064,Learn by Doing: Vue JS 2.0 the Right Way,https://www.udemy.com/learn-by-doing-vue-js-2-the-right-way/,True,95,1087,220,32,Intermediate Level,3.5 hours,2016-11-07T17:53:40Z,Web Development,Learn Doing Vue JS 20 Right Way
94428,Learn Complete Web Development From Scratch,https://www.udemy.com/learn-complete-web-development-from-scratch/,True,40,14074,106,46,All Levels,12 hours,2013-10-23T09:23:00Z,Web Development,Learn Complete Web Development Scratch
159070,Introduction to Web Development: HTML,https://www.udemy.com/webdevelopment101_html/,True,20,26800,333,55,Beginner Level,3 hours,2014-02-13T20:39:33Z,Web Development,Introduction Web Development HTML
920306,Web Site for Beginners - Learn Web Building like knitting,https://www.udemy.com/web-design-for-grandmothers-with-html/,True,20,9425,147,14,Beginner Level,1.5 hours,2016-08-10T00:40:59Z,Web Development,Web Site Beginners  Learn Web Building like knitting
1089744,How To Make A Wordpress Website 2017 - Divi Theme Tutorial,https://www.udemy.com/how-to-make-a-wordpress-website-2017-divi-theme-tutorial-for-beginners/,True,40,2780,94,29,Beginner Level,3 hours,2017-01-26T17:16:27Z,Web Development,Wordpress Website 2017  Divi Theme Tutorial
16646,Web Programming with Python,https://www.udemy.com/web-programming-with-python/,True,50,35267,217,53,All Levels,4 hours,2012-04-25T00:01:43Z,Web Development,Web Programming Python
678142,PHP Login and Registration System - Email Confirm Activation,https://www.udemy.com/php-mysql-login-and-registration-system-with-email-confirm-activation/,True,100,2607,317,49,All Levels,5 hours,2015-11-26T23:56:12Z,Web Development,PHP Login Registration System  Email Confirm Activation
948440,PSD to Responsive HTML5: Beginner to Advanced,https://www.udemy.com/psd-to-html5-beginner-to-advanced/,True,40,1502,218,49,All Levels,6 hours,2016-10-03T21:11:56Z,Web Development,PSD Responsive HTML5 Beginner Advanced
924704,Ultimate Web Developer Course Build 10 Websites from Scratch,https://www.udemy.com/ultimate-web-developer-course-build-10-websites-from-scratch/,True,200,9359,110,402,Beginner Level,32.5 hours,2016-10-10T15:09:14Z,Web Development,Ultimate Web Developer Course Build 10 Websites Scratch
1027342,Rapid Website Design with Bootstrap,https://www.udemy.com/responsive-website-design/,True,200,14842,131,17,Beginner Level,1 hour,2016-12-02T00:45:36Z,Web Development,Rapid Website Design Bootstrap
1009452,Build Enterprise Applications with Angular 2 (and Angular 4),https://www.udemy.com/angular2-advanced/,True,190,6082,848,135,Intermediate Level,9.5 hours,2016-11-22T14:55:35Z,Web Development,Build Enterprise Applications Angular 2 and Angular 4
1247828,Angular 4 (2+) Crash Course for Beginners,https://www.udemy.com/angular-crash-course-for-beginners/,True,120,12366,506,120,Beginner Level,9 hours,2017-06-23T00:35:49Z,Web Development,Angular 4 2 Crash Course Beginners
886300,Accelerated JavaScript Training,https://www.udemy.com/javascript-bootcamp-2016/,True,110,4720,1017,126,All Levels,7.5 hours,2016-07-12T18:23:35Z,Web Development,Accelerated JavaScript Training
1009254,"Beginner API development in Node, Express, ES6, & MongoDB",https://www.udemy.com/api-development/,True,165,7057,655,65,Beginner Level,18.5 hours,2016-11-12T18:53:51Z,Web Development,Beginner API development Node Express ES6  MongoDB
1078522,React JS and Redux - Mastering Web Apps,https://www.udemy.com/react-js-and-redux-mastering-web-apps/,True,60,16829,820,77,All Levels,5 hours,2017-01-19T04:58:10Z,Web Development,React JS Redux  Mastering Web Apps
1002030,Web Development w/ Google’s Go (golang) Programming Language,https://www.udemy.com/go-programming-language/,True,65,4872,662,171,Intermediate Level,19 hours,2017-01-17T22:30:33Z,Web Development,Web Development w Googles golang Programming Language
818990,Git a Web Developer Job: Mastering the Modern Workflow,https://www.udemy.com/git-a-web-developer-job-mastering-the-modern-workflow/,True,200,5809,1445,61,Beginner Level,15 hours,2016-08-28T17:54:07Z,Web Development,Git Web Developer Job Mastering Modern Workflow
520116,The Complete WordPress Website Business Course,https://www.udemy.com/the-complete-wordpress-website-business-course/,True,150,13439,1981,89,All Levels,20.5 hours,2016-11-01T23:50:51Z,Web Development,Complete WordPress Website Business Course
1252318,The Complete HTML and CSS Course For Beginners,https://www.udemy.com/the-complete-html-and-css-course-for-beginners/,True,85,733,104,50,All Levels,3 hours,2017-06-20T16:05:46Z,Web Development,Complete HTML CSS Course Beginners
427530,Learn  Bootstrap Development By Building 10 Projects,https://www.udemy.com/learn-bootstrap-development-by-building-10-projects/,True,60,14813,1358,74,All Levels,13.5 hours,2015-02-23T12:04:53Z,Web Development,Learn Bootstrap Development Building 10 Projects
670034,Advanced Javascript,https://www.udemy.com/top-javascript-interview-questions-and-answers/,True,200,6601,1304,26,Intermediate Level,3.5 hours,2015-11-21T06:56:33Z,Web Development,Advanced Javascript
1052118,Dissecting Ruby on Rails 5 - Become a Professional Developer,https://www.udemy.com/professional-rails-5-development-course/,True,195,2804,418,212,All Levels,37.5 hours,2017-02-07T00:40:33Z,Web Development,Dissecting Ruby Rails 5  Professional Developer
